Path,RGB_5,P-5,RGB_4,P-4,RGB_3,P-3,RGB_2,P-2,RGB_1,P-1
E:/Organized Photos/2003/2003-03-16 18-46-07.jpg,"[86.00287084954489, 118.89022777924673, 154.05560382276283]",0.059267134,"[171.2059034702831, 79.14217191862785, 32.22151974471475]",0.112539158,"[190.26929465768816, 142.49281976173026, 114.4118723989496]",0.250018598,"[75.83153843352001, 27.4105767557439, 24.82017006018081]",0.27607912,"[233.75313045767584, 199.36420469503742, 164.9386181861329]",0.30209599
E:/Organized Photos/2003/2003-03-16 18-47-16.jpg,"[115.66962870881355, 52.33878613190543, 36.56048849789625]",0.074712875,"[170.84486793714476, 138.08103835315492, 128.3853990543058]",0.106841091,"[167.37906426052862, 94.84576627330571, 77.61178586762773]",0.156637965,"[31.71982496277969, 22.90653549279163, 23.89178467425541]",0.326393883,"[119.97236896497216, 97.46437494680781, 87.37295134287335]",0.335414187
E:/Organized Photos/2003/2003-03-16 18-48-03.jpg,"[128.9495030889067, 111.90402005551067, 97.25928910376928]",0.010882896,"[80.22715932753663, 66.58175274261043, 60.70316606015443]",0.195061175,"[42.55497779891187, 20.103786227297114, 13.235121565624429]",0.210379575,"[12.06243036540456, 8.195963553960892, 7.971513549239906]",0.272896106,"[49.38456761566584, 38.381833564644054, 32.603012457436755]",0.310780248
E:/Organized Photos/2003/2003-03-16 18-48-12.jpg,"[79.85004516711834, 30.54923215898826, 21.558265582655824]",0.086009307,"[41.34071885770558, 22.57508616445101, 14.031019202363371]",0.177634543,"[13.111663652802891, 8.339059674502714, 9.032097649186255]",0.181051833,"[98.87928921568627, 82.02941176470588, 74.99203431372548]",0.262025609,"[57.2289058247142, 47.918072945019055, 40.13255307566685]",0.293278708
E:/Organized Photos/2003/2003-03-16 18-48-29.jpg,"[113.59562985445791, 64.02055548599638, 42.1779877988229]",0.09210128,"[53.7820766570931, 36.26220382057294, 48.35228582495663]",0.165962803,"[152.57011018450717, 105.16119328096276, 79.02062123543746]",0.171193092,"[199.9928980571884, 187.8929327327272, 180.75913422377505]",0.23439618,"[168.75525784412227, 152.75331237264572, 138.81442875978516]",0.336346645
E:/Organized Photos/2003/2003-03-16 18-48-39.jpg,"[116.24802162958436, 87.72701632099445, 70.1753541305501]",0.119598459,"[38.53800565088547, 17.47120366367829, 14.54316787891314]",0.184044481,"[214.81105264246176, 206.89717041601222, 203.76996319576554]",0.216590365,"[71.98469566098456, 45.74618911319949, 49.77739557739563]",0.222003013,"[179.18600163546475, 158.65357573974472, 139.03237181289919]",0.257763682
E:/Organized Photos/2003/2003-03-16 18-49-43.jpg,"[131.6902187578577, 79.01533819461909, 66.48327885340711]",0.10008529,"[147.76570380559386, 123.21213510622037, 115.84808191960875]",0.167113007,"[66.92197471402773, 47.224322697170365, 43.11414810355208]",0.201478346,"[173.00554400554407, 154.51570801570801, 147.77927927927934]",0.203321049,"[31.258737107664892, 17.916005045633298, 14.469243897009717]",0.328002308
E:/Organized Photos/2003/2003-03-16 18-51-25.jpg,"[142.32468829229325, 8.570763727294842, 0.001120063904421215]",0.10244459,"[132.4490509903305, 34.360754524668806, 0.12846753532960528]",0.125794785,"[68.97283660114867, 3.401125592057787, 0.07162307221133954]",0.140982485,"[104.90748758531213, 6.859175933152053, 0.003693338569291104]",0.174105925,"[10.547883972215049, 3.2966751918158534, 2.458975241756071]",0.456672215
E:/Organized Photos/2003/2003-03-16 18-53-26.jpg,"[35.496006389776355, 76.7444089456869, 121.85543130990415]",0.082127854,"[112.3686112545173, 66.54104284976769, 41.394424367578736]",0.132272656,"[35.83270183619936, 24.33080734479744, 25.63946371320315]",0.222735031,"[154.29209773277572, 121.58045344486024, 109.62976007043805]",0.267965444,"[124.34334048129615, 99.8465570645699, 88.81510602811532]",0.294899016
E:/Organized Photos/2003/2003-03-16 18-54-41.jpg,"[102.02324728659418, 92.49756526840724, 109.7775740686421]",0.066597391,"[45.72584171737872, 28.052636005015163, 22.983739029387422]",0.140647989,"[136.76231990580996, 79.93077985803427, 53.55318946215053]",0.164411203,"[189.66583335970356, 152.23108841492325, 145.65874497642443]",0.273052635,"[217.71147155152488, 211.6665856126038, 210.52118663148298]",0.355290782
