Path,RGB_5,P_5,RGB_4,P_4,RGB_3,P_3,RGB_2,P_2,RGB_1,P_1
E:/Organized Photos/2015/2015-08-29 16-50-14.034110.jpg,"[248.15426326762523, 251.03667779199515, 250.4492157090837]",0.112559317,"[212.3934485501486, 184.3230457733749, 168.84327138621734]",0.141801215,"[73.88705133365038, 55.076757423543114, 50.60290512604733]",0.189492188,"[182.22152220438744, 128.38106384876042, 103.37510700909564]",0.226571181,"[118.83233453510668, 98.10957941953158, 90.21582180796544]",0.3295761
E:/Organized Photos/2015/2015-08-29 19-14-08.JPG,"[234.36743136517487, 224.4689732982324, 208.39902218879277]",0.184033785,"[41.56684491978609, 30.09320091673033, 25.436210847975552]",0.190681619,"[195.40426951300864, 117.73048699132752, 75.4619746497665]",0.196570029,"[117.39940139674096, 85.56933821084138, 69.49052211506485]",0.212511789,"[184.92960052390308, 159.89751146037983, 144.35036018336604]",0.216202778
E:/Organized Photos/2015/2015-08-29 19-16-09.JPG,"[223.38138138138137, 218.4066066066066, 208.6558558558558]",0.135586248,"[99.94434222631095, 87.56025758969639, 80.14259429622814]",0.175255611,"[197.11923890063423, 189.9424947145877, 179.46892177589854]",0.196680038,"[148.3070624360287, 140.19754350051176, 132.12726032070964]",0.242501257,"[40.30891214716144, 30.0069774817634, 29.585791309863627]",0.249976847
E:/Organized Photos/2015/2015-08-29 19-17-43.JPG,"[236.2553184547125, 225.47732082261368, 209.02164205541297]",0.142763601,"[174.93970263001205, 155.43862507658025, 141.05742099751959]",0.156618823,"[38.443662394573344, 25.312238711254285, 20.08322435136063]",0.157969966,"[202.7178417943218, 121.55033826527931, 76.72937522873428]",0.162666052,"[114.86340162482652, 73.81136490953004, 51.2594813373972]",0.379981558
E:/Organized Photos/2015/2015-08-29 19-17-47.JPG,"[96.8526939856948, 86.06528560870767, 81.80015305554835]",0.13097439,"[220.16346703454533, 208.37650970008286, 192.13003040255649]",0.149828817,"[35.16416103611155, 23.346008915680372, 18.27885362528876]",0.168884989,"[178.06793100300058, 132.56354078753418, 105.71248964329176]",0.266952865,"[111.65826350192037, 62.79131149368754, 37.161979733583]",0.283358939
E:/Organized Photos/2015/2015-08-29 20-45-06.JPG,"[240.91884830831285, 231.50522070356303, 224.75826125924308]",0.055491102,"[157.42699260635587, 144.88735123463923, 146.6417050542584]",0.115889797,"[98.06884684202824, 94.71413896335108, 85.73518739550788]",0.229331492,"[31.730372657803787, 29.698220648157754, 25.447916303197506]",0.256287145,"[67.38977003472179, 66.0136442582682, 54.72852083094538]",0.343000464
E:/Organized Photos/2015/2015-08-29 21-47-21.JPG,"[231.96130346232178, 218.70264765784108, 200.59266802443992]",0.03893871,"[161.33079365079365, 138.21904761904764, 113.13333333333331]",0.132647447,"[125.7872272143774, 97.19865211810013, 67.74390243902438]",0.254899318,"[83.41840381179277, 62.11226920786183, 39.75550923168553]",0.281177102,"[35.11499466382071, 26.663553895410885, 14.139274279615794]",0.292337423
E:/Organized Photos/2015/2015-08-29 22-15-22.JPG,"[186.80180542553114, 144.74982469004883, 107.73159601467943]",0.057313693,"[43.379823898343034, 18.358747539956568, 10.941924247686424]",0.129828371,"[80.05540617179103, 45.620309577082416, 24.680607792847937]",0.235141807,"[144.37844136814928, 99.12161011144283, 62.41084543103752]",0.253781974,"[111.98432574282629, 71.10682807076957, 39.779421315500024]",0.323934154
E:/Organized Photos/2015/2015-08-29 23-39-22.888346.jpg,"[196.50635593220338, 196.66737288135593, 179.0752118644068]",0.077380952,"[171.07137654770574, 161.70502549162416, 129.02694828841948]",0.111150794,"[139.12049861495848, 132.19321329639888, 85.15547091412743]",0.234146825,"[55.47071719386157, 50.98246163482619, 31.129345443156907]",0.25781746,"[90.62133676092543, 85.84035989717223, 59.29562982005141]",0.319503968
E:/Organized Photos/2015/2015-08-30 17-01-55.JPG,"[189.29724409448812, 150.87598425196848, 142.9566929133858]",0.07649821,"[128.70909090909092, 104.59, 94.20363636363635]",0.078123372,"[225.60987654320988, 208.61580246913582, 205.60148148148147]",0.153508301,"[66.00102327961115, 61.19646968534153, 52.171910974673835]",0.277404785,"[26.735841885214747, 28.04408969973394, 28.547510452299505]",0.414465332
E:/Organized Photos/2015/2015-08-30 17-02-00.JPG,"[144.4624060150376, 83.78383458646616, 67.69924812030077]",0.086203613,"[64.92161016949153, 41.49929378531074, 29.195621468926554]",0.110039063,"[186.65409717186367, 123.7766497461929, 100.92893401015229]",0.22254069,"[211.73898611949306, 158.2202776101388, 138.61436330718163]",0.28099528,"[230.78024625267668, 192.57387580299786, 170.74812633832977]",0.300221354
E:/Organized Photos/2015/2015-08-30 18-34-34.JPG,"[128.83545497406877, 123.35855728429982, 115.42314945780294]",0.057932163,"[230.98827646544197, 218.06334208223984, 204.67830271216113]",0.078123625,"[191.77434052757795, 170.17314148681052, 149.37793764988004]",0.084908671,"[78.81691782532668, 73.1401007409874, 53.881983182083076]",0.326098977,"[23.35466053621545, 24.026064369737856, 22.940601301725685]",0.452936565
E:/Organized Photos/2015/2015-08-30 20-23-07.JPG,"[238.87787356321834, 239.7227011494253, 238.13936781609195]",0.057893651,"[71.99958385351644, 64.07324178110696, 66.66625052018311]",0.196147392,"[151.46148333930492, 146.63740594768896, 140.75170189896093]",0.218553312,"[34.20074906367042, 31.597003745318354, 40.300000000000004]",0.226639525,"[115.57215665236052, 104.75321888412017, 97.58932403433478]",0.30076612
E:/Organized Photos/2015/2015-08-30 21-40-34.JPG,"[112.28571428571428, 31.943417366946775, 28.694677871148457]",0.1082045,"[78.75307377049178, 56.570184426229496, 43.3796106557377]",0.113605854,"[172.12097440132118, 146.0710156895128, 114.68166804293972]",0.137667804,"[29.72460176991151, 19.99911504424779, 16.324778761061946]",0.318348371,"[147.7901410966244, 91.64511519914271, 52.6869083764958]",0.322173471
E:/Organized Photos/2015/2015-08-31 00-00-33.JPG,"[215.49928928928895, 151.8932332332332, 144.26073073073073]",0.109723307,"[152.67223056418854, 103.54558205584854, 94.98454796242632]",0.187661947,"[64.63727392139027, 43.24380620390011, 51.31794483176714]",0.223968099,"[112.1799723282636, 74.6840877416227, 70.77993395140281]",0.225510254,"[249.798132683322, 239.90717975342994, 220.4088077156612]",0.253136393
E:/Organized Photos/2015/2015-08-31 00-09-41.JPG,"[183.37911464245167, 114.8814604615967, 72.09629209231939]",0.164112016,"[107.87624929814707, 67.18974358974357, 53.57405951712518]",0.164728213,"[144.1288571170029, 120.65616987904569, 101.69860947727204]",0.205885508,"[189.82787279151944, 161.78024028268555, 139.02009893992937]",0.221338578,"[36.20688067527816, 23.248241463102712, 22.11438802915974]",0.243935684
