"YEAR","THEME","TOTAL_SETS","TOTAL_PIECES","MEAN_PIECES","TOTAL_PRICE","MEAN_PRICE","MEAN_VALNEW","MEAN_VALUSED","PPP"
1983,"Basic",7,623,89,0,NA,45.6716666666667,21.816,0
1983,"Castle",1,22,22,0,NA,NA,130.93,0
1983,"Dacta",1,20,20,15.75,15.75,NA,9.02,0.7875
1983,"Duplo",16,160,9.41176470588235,8,4,33.0171428571429,16.882,0.05
1983,"Fabuland",8,89,11.125,0,NA,92.8657142857143,16.65375,0
1983,"Service Packs",1,2,2,0,NA,2.94,0.77,0
1983,"Space",8,1202,133.555555555556,4.5,4.5,485.705714285714,71.56625,0.00374376039933444
1983,"Technic",3,533,177.666666666667,0,NA,73.46,31.64,0
1983,"Town",13,1407,108.230769230769,0,NA,299.997777777778,59.6676923076923,0
1983,"Trains",9,2271,252.333333333333,44.75,44.75,449.3075,163.941111111111,0.019704975781594
1984,"Basic",5,423,84.6,0,NA,29.185,11.05,0
1984,"Castle",10,1612,161.2,125.75,15.71875,742.297777777778,71.495,0.0780086848635236
1984,"Dacta",5,2491,498.2,80,80,367.09,113.99,0.0321156162183862
1984,"Duplo",15,225,14.0625,9,9,44.8366666666667,24.31625,0.04
1984,"Fabuland",10,207,20.7,42.25,21.125,118.105,28.506,0.204106280193237
1984,"Space",9,1217,135.222222222222,5.44,2.72,620.27125,47.125,0.00447000821692687
1984,"Technic",3,898,224.5,0,NA,229.0625,35.995,0
1984,"Town",17,1879,110.529411764706,67,22.3333333333333,302.141333333333,40.5613333333333,0.0356572645023949
1985,"Basic",12,4790,165.172413793103,37.9,9.475,81.115625,34.704,0.00791231732776618
1985,"Castle",3,176,58.6666666666667,5.5,5.5,419,47.33,0.03125
1985,"Dacta",14,3308,236.285714285714,0,NA,201.246666666667,98.7825,0
1985,"Duplo",16,179,10.5294117647059,17,8.5,12.875,17.3571428571429,0.0949720670391061
1985,"Fabuland",17,396,23.2941176470588,104.75,8.05769230769231,101.891666666667,27.2217647058824,0.264520202020202
1985,"Service Packs",2,24,12,0,NA,21.98,NA,0
1985,"Space",14,1555,103.666666666667,36.5,36.5,354.009230769231,45.4330769230769,0.0234726688102894
1985,"Technic",1,98,98,0,NA,58.43,12.7,0
1985,"Town",23,3397,141.541666666667,140.6,28.12,393.609047619048,98.57,0.041389461289373
1985,"Trains",6,2465,410.833333333333,112.15,37.3833333333333,608.081666666667,157.605,0.0454969574036511
1985,"Universal Building Set",1,26,26,0,NA,29.9,NA,0
1986,"Basic",24,1553,59.7307692307692,42.9,4.76666666666667,22.9858823529412,12.4123076923077,0.0276239536381198
1986,"Castle",5,871,174.2,63.75,15.9375,619.03,109.186,0.0731917336394948
1986,"Dacta",30,3090,103,415.15,83.03,138.14875,70.14,0.134352750809061
1986,"Duplo",17,280,16.4705882352941,84,42,93.6325,27.2928571428571,0.3
1986,"Fabuland",7,178,25.4285714285714,61.9,10.3166666666667,154.445714285714,30.315,0.347752808988764
1986,"Model Team",3,1403,467.666666666667,0,NA,283.213333333333,96.4566666666667,0
1986,"Service Packs",4,17,4.25,0,NA,NA,2.35,0
1986,"Space",17,2249,132.294117647059,55,27.5,493.164615384615,70.1266666666667,0.0244553134726545
1986,"Technic",8,2238,279.75,59.99,29.995,206.59,54.8425,0.0268051831992851
1986,"Town",26,2711,104.269230769231,138.25,12.5681818181818,203.671818181818,37.7648,0.0509959424566581
1986,"Trains",3,948,316,0,NA,260.35,87.5766666666667,0
1987,"Basic",13,4482,160.071428571429,0,NA,15.2269230769231,14.421,0
1987,"Boats",3,612,204,88,29.3333333333333,284.84,83.0266666666667,0.143790849673203
1987,"Castle",5,742,148.4,59.2,11.84,565.7375,96.66,0.0797843665768194
1987,"Dacta",3,649,162.25,0,NA,113.995,80,0
1987,"Duplo",17,455,25.2777777777778,41.5,13.8333333333333,24.68,14.11375,0.0912087912087912
1987,"Fabuland",10,425,42.5,54.5,27.25,226.545555555556,69.26,0.128235294117647
1987,"Service Packs",60,838,13.9666666666667,96.75,3.45535714285714,15.2059259259259,10.4785714285714,0.115453460620525
1987,"Space",17,3177,186.882352941176,215,71.6666666666667,486.942142857143,93.038125,0.0676739062008184
1987,"Technic",1,327,327,0,NA,109.44,41.99,0
1987,"Town",24,3100,129.166666666667,131.98,21.9966666666667,221.89380952381,53.915,0.0425741935483871
1987,"Universal Building Set",1,24,24,0,NA,NA,NA,0
1988,"Basic",4,450,90,0,NA,19.09,10.38,0
1988,"Castle",7,1243,177.571428571429,110.75,18.4583333333333,726.516666666667,118.687142857143,0.0890989541432019
1988,"Dacta",5,427,85.4,22,22,NA,152.2,0.0515222482435597
1988,"Duplo",9,214,23.7777777777778,79.25,39.625,64.35,31.0716666666667,0.370327102803738
1988,"Fabuland",7,243,34.7142857142857,0,NA,185.627142857143,45.7428571428571,0
1988,"Service Packs",1,8,8,0,NA,30.1,NA,0
