Path,RGB_4,Percent-4,RGB_3,Percent-3,RGB_2,Percent-2,RGB_1,Percent-1
E:/Organized Photos/2021/2021-01-15 18-23-53.jpg,"[202.43142528261896, 203.90722411306282, 203.14554452631435]",0.108549265,"[82.08150840733887, 71.33458515383215, 62.35472842862532]",0.202672491,"[183.12508480981927, 166.14533658475128, 144.12914728263655]",0.322872597,"[137.92944252382, 120.72702080318537, 99.06204161057686]",0.365905647
E:/Organized Photos/2021/2021-01-15 18-23-59.jpg,"[72.37675017115023, 60.702392302035946, 53.548070437891184]",0.143273455,"[195.24503354211373, 195.6566669399165, 195.12462244290316]",0.203017833,"[176.55026585662534, 158.4030591418167, 138.18280954929338]",0.314198384,"[133.82334549692644, 116.29537532604094, 97.84585441534121]",0.339510328
E:/Organized Photos/2021/2021-01-15 18-24-04.jpg,"[66.42680776014109, 53.10758377425044, 40.160493827160494]",0.142981698,"[212.6994350282486, 214.13333333333333, 214.7743879472693]",0.21277028,"[132.29790712884238, 114.11478090255069, 94.64617396991498]",0.249225989,"[188.82252769798933, 168.31267952400498, 143.94173163725893]",0.395022033
E:/Organized Photos/2021/2021-01-15 19-01-57.jpg,"[170.73041332510797, 178.83096853793955, 181.04503392967305]",0.135086744,"[76.04102564102564, 65.23931623931624, 58.417094017094016]",0.144973479,"[192.27987421383648, 126.08535489667565, 35.72686433063791]",0.177991522,"[27.84086150164523, 21.728387675740354, 21.372270415794198]",0.541948254
E:/Organized Photos/2021/2021-01-15 21-19-11.jpg,"[38.84283387622152, 32.84120521172638, 28.94055374592834]",0.163986499,"[204.3977331272539, 188.79924437575124, 180.07779495105612]",0.25512249,"[149.59420962997365, 104.6624864530113, 68.46307477937762]",0.283864555,"[168.11109417860408, 148.85507467235595, 136.66900335263637]",0.297026456
E:/Organized Photos/2021/2021-01-16 16-07-07.jpg,"[82.45147375988498, 151.14090582314884, 194.38964773544214]",0.117907162,"[58.2249822569198, 52.619233498935415, 44.677430801987235]",0.225735015,"[162.72943558592763, 149.63477600607442, 139.66945077195646]",0.30336114,"[119.56080426356588, 110.17684108527132, 99.750242248062]",0.352996683
E:/Organized Photos/2021/2021-01-18 19-48-26.jpg,"[92.9811965811966, 83.9863247863248, 78.84444444444445]",0.097284664,"[35.553349875930515, 29.031637717121587, 28.480769230769234]",0.1252303,"[154.8319738988581, 106.93760195758566, 59.386215334420875]",0.204606097,"[173.17195917210094, 165.8848880068046, 160.08888573858803]",0.572878939
E:/Organized Photos/2021/2021-01-20 14-03-36.jpg,"[47.00474547023296, 35.336928386540116, 29.941328731665216]",0.197716876,"[158.95185922974767, 133.1464143426294, 109.08532536520583]",0.242727711,"[215.2526189763544, 182.40347201436697, 136.8709967075726]",0.271905554,"[104.68620403649433, 80.43876140447885, 66.02626486038153]",0.287649859
E:/Organized Photos/2021/2021-01-20 14-03-43.jpg,"[92.91272306090649, 78.75073855420335, 71.76787954830569]",0.229122925,"[209.3401941453655, 181.26193053945585, 142.84047576369517]",0.230346164,"[32.75690250081106, 27.63374160780687, 25.626031085431887]",0.234245634,"[140.74416104951254, 123.85858714051534, 113.75812960536612]",0.306285278
E:/Organized Photos/2021/2021-01-21 16-35-31.jpg,"[224.6577304443628, 220.34667645978698, 207.36687477047374]",0.187676416,"[149.2885558583107, 114.53678474114443, 100.38937329700273]",0.235688812,"[76.8196335078534, 53.25209424083769, 50.993717277486915]",0.250916363,"[199.95162230425493, 186.17660773265985, 164.40878181464933]",0.325718409
E:/Organized Photos/2021/2021-01-23 12-47-11.jpg,"[160.00293640749828, 156.1538598433916, 157.16374673732489]",0.096274447,"[20.797502453291255, 23.586981201054417, 25.053773578854855]",0.138796812,"[218.74654298846494, 215.80392790991667, 214.64659590940718]",0.360398995,"[192.56769729009156, 188.75230174513854, 187.41445006983605]",0.404529745
E:/Organized Photos/2021/2021-01-24 17-11-48.jpg,"[207.57666921252616, 212.3281746191257, 223.06268440728422]",0.063289102,"[124.41172526906831, 130.4511546887907, 135.40758898107234]",0.171804794,"[80.08356264067268, 65.9119273662658, 54.50837691018922]",0.302730055,"[182.17675402358176, 178.24396031852868, 175.0105742381802]",0.462176048
E:/Organized Photos/2021/2021-01-24 17-11-50.jpg,"[131.3475409836065, 86.92295081967212, 47.02049180327869]",0.090196637,"[39.44349540078844, 35.07950065703023, 32.579500657030216]",0.114955029,"[91.47790585975024, 99.2877041306436, 98.924111431316]",0.154276699,"[176.3553251649388, 175.0815268614515, 176.20511310084825]",0.640571635
E:/Organized Photos/2021/2021-01-24 17-11-55.jpg,"[55.915359795903015, 48.828843700757844, 45.167854730997185]",0.138605333,"[130.744161358811, 139.72438959660298, 146.55281316348177]",0.155667797,"[102.00064094346878, 95.2699653890527, 89.46870059394095]",0.243960245,"[189.72007018491024, 184.50193458406446, 182.63994241238143]",0.461766625
E:/Organized Photos/2021/2021-01-24 19-56-10.jpg,"[119.74529768460468, 88.78430240654161, 66.38719127011275]",0.147167239,"[39.571166898304654, 28.13768560417556, 23.912120966630468]",0.177679315,"[205.61927800206354, 183.22843899716645, 146.47680638404282]",0.309475912,"[180.35423899647088, 176.83745473938276, 180.8274005669849]",0.365677534
E:/Organized Photos/2021/2021-01-25 12-26-19.jpg,"[165.7008595988538, 119.55300859598853, 89.38395415472779]",0.135551719,"[82.3654970760234, 37.308114035087726, 21.726242690058477]",0.202034189,"[176.07706635622816, 165.252852153667, 157.62025611175775]",0.313328032,"[216.18430335097, 212.4942680776014, 211.46560846560843]",0.349086059
E:/Organized Photos/2021/2021-01-25 12-26-37.jpg,"[13.504653345325174, 74.1504125444808, 151.91635709537456]",0.046622829,"[172.03298571427604, 173.7872741969995, 178.1479232488039]",0.196936742,"[113.33901949677642, 104.74018696842201, 95.72770972330929]",0.303802276,"[63.030047484900365, 42.29132750433649, 32.737466975250065]",0.452638154
E:/Organized Photos/2021/2021-01-26 13-47-20.jpg,"[53.76454875554763, 50.08778641884275, 53.639150516840964]",0.057008329,"[121.0314274305862, 119.78307086997592, 124.64596663452826]",0.082780875,"[170.04892130276536, 170.05325830425656, 174.88143678214072]",0.221498733,"[196.1355332006127, 195.74494690076793, 200.43167145484205]",0.638712063
E:/Organized Photos/2021/2021-01-26 13-47-26.jpg,"[68.58187453007304, 59.53209900422773, 57.51812299758444]",0.100108523,"[155.86910864022394, 155.5672042162827, 160.21932287148823]",0.105211111,"[202.06160919433776, 201.9893606922142, 206.09853534897445]",0.386539846,"[184.08868525626445, 184.06583434803034, 188.5589733350205]",0.40814052
E:/Organized Photos/2021/2021-01-26 13-47-34.jpg,"[112.06408371993349, 114.87930044554693, 112.41077197495147]",0.053088957,"[81.98345165603375, 57.35298336075187, 39.676845827814795]",0.160330889,"[186.25139515985376, 186.98969624500305, 189.02955838270634]",0.269447375,"[205.73595210917344, 206.64989597065582, 209.610331813333]",0.517132779
E:/Organized Photos/2021/2021-01-26 13-47-37.jpg,"[113.39218422889043, 111.390788555478, 107.45289602233076]",0.047010162,"[80.918006103764, 56.133672431332656, 39.67426246185148]",0.153865854,"[187.43894913986534, 186.76178010471205, 188.83741585639487]",0.33640674,"[205.27462585034016, 205.43163265306123, 209.51074829931972]",0.462717244
E:/Organized Photos/2021/2021-01-26 13-47-44.jpg,"[44.902565445839805, 33.24713032784523, 28.18603200536309]",0.078520972,"[105.49619464163435, 80.0898506211779, 61.4886366202697]",0.142368657,"[182.0269953204464, 181.28893524206785, 182.8621611194747]",0.253421263,"[202.83954345875586, 202.77867469142518, 206.02621424881784]",0.525689108
E:/Organized Photos/2021/2021-01-31 10-03-40.jpg,"[13.367205542725173, 15.076212471131646, 19.70438799076212]",0.013272567,"[105.14058956916098, 112.51700680272111, 124.76643990929706]",0.063639255,"[141.45395468148786, 153.41034630183844, 172.24343736639597]",0.331855845,"[162.58850606779197, 175.45817640768124, 195.55567954619428]",0.591232333
E:/Organized Photos/2021/2021-02-01 18-09-14.jpg,"[185.34087338988374, 181.35595350298468, 173.9267986176563]",0.176852158,"[91.87526789541364, 68.41127303900556, 61.730818688384055]",0.237618015,"[37.442298521697644, 32.38388173581306, 42.96542680019074]",0.247657081,"[161.39505399906085, 113.66911879793393, 62.5216778838629]",0.337872746
E:/Organized Photos/2021/2021-02-01 18-46-18.jpg,"[194.6509962654581, 198.30842915144214, 200.13281575793906]",0.150591782,"[86.66231531543693, 76.20417592061128, 55.69315783716403]",0.181382384,"[46.13622715431745, 29.025891980766737, 27.282921596806045]",0.272666551,"[162.75881150653183, 164.9990164447086, 155.6943788273895]",0.395359282
E:/Organized Photos/2021/2021-02-02 08-52-27.jpg,"[96.70378042465045, 93.40290005178665, 92.31175556706368]",0.159426528,"[201.92099173553711, 204.07404958677682, 208.1021487603306]",0.229761664,"[149.25108100317092, 148.166330354569, 147.34419140962814]",0.291198192,"[35.24566399171627, 30.90887910950039, 28.506083354905517]",0.319613616
E:/Organized Photos/2021/2021-02-02 08-54-32.jpg,"[158.7338056680162, 158.22115384615384, 156.77884615384613]",0.156452306,"[103.9128, 94.0004, 85.9508]",0.197462736,"[52.64104256021115, 38.42890135268887, 33.13130979874628]",0.251149971,"[211.62162727462876, 218.18594436310397, 226.26103325664087]",0.394934987
E:/Organized Photos/2021/2021-02-02 09-49-33.jpg,"[76.29077384100107, 58.51125683060107, 47.35586109642157]",0.111551591,"[208.3117354611897, 203.43509941598876, 196.41371228594488]",0.241048245,"[141.65734698525577, 109.67785952647382, 81.93093170408072]",0.315873256,"[172.88551160190116, 150.07573385518583, 129.44991613083585]",0.331526907
E:/Organized Photos/2021/2021-02-02 09-52-28.jpg,"[80.41865520751286, 66.32570157379156, 59.29509163177788]",0.094574642,"[165.87736160399638, 134.75850421900552, 105.59673765569163]",0.21295323,"[218.37070615356606, 190.28486912736986, 154.16312136830865]",0.28239002,"[245.0881836636211, 244.05406079968026, 237.27480594519054]",0.410082108
E:/Organized Photos/2021/2021-02-02 09-53-51.jpg,"[63.11353175820804, 45.65664314206812, 39.45750230131943]",0.152202136,"[129.19055374592836, 106.6628664495114, 92.08818054909261]",0.195250059,"[193.61848646658072, 170.51776836678326, 146.36052292395507]",0.24448788,"[236.5430953499295, 233.68330201972756, 224.54556129638326]",0.408059925
E:/Organized Photos/2021/2021-02-02 09-54-49.jpg,"[66.9544794188862, 52.63389830508474, 44.794673123486675]",0.171949252,"[131.41006289308174, 110.24989517819706, 93.03102725366875]",0.194744404,"[195.5448085274378, 178.13383339913142, 158.45400710619816]",0.202411244,"[237.37851083883132, 234.1206409048068, 222.80508953817156]",0.430895101
E:/Organized Photos/2021/2021-02-02 09-58-48.jpg,"[55.3888030115275, 43.6373264177217, 37.905523546720985]",0.191519322,"[192.29297941439043, 185.15319523335134, 177.0035031764726]",0.250458523,"[151.59337465608283, 135.51429113563768, 119.22942980930401]",0.255718909,"[115.33827751067412, 92.33816182069097, 72.42953807411149]",0.302303245
E:/Organized Photos/2021/2021-02-02 10-00-02.jpg,"[186.4440996910982, 195.69157704686285, 203.12554209135268]",0.144366344,"[118.08044201184431, 95.98569058574724, 78.12604805280216]",0.265873781,"[55.89349029674497, 41.67167169156873, 33.84838970050085]",0.27664421,"[166.7098242238505, 151.91073352447162, 137.32891231218858]",0.313115666
E:/Organized Photos/2021/2021-02-02 10-02-45.jpg,"[248.57546666666653, 249.3087999999999, 248.73119999999992]",0.035634457,"[124.63340968864004, 113.46491897853565, 99.95690167133286]",0.223048395,"[174.34529759200365, 164.27164420213037, 149.30920288757645]",0.359141856,"[50.18364501706647, 40.56011730205279, 34.565982404692065]",0.382175292
E:/Organized Photos/2021/2021-02-02 10-03-25.jpg,"[38.895522388059696, 31.982890425919184, 29.176920276665452]",0.224048988,"[89.66978695932859, 76.57262750161394, 65.33311814073595]",0.247819801,"[148.01434034416826, 139.5433397068196, 124.4974506054812]",0.255757839,"[192.20453857791225, 183.27987897125567, 167.51739788199697]",0.272373372
E:/Organized Photos/2021/2021-03-26 11-26-39.JPEG,"[164.88412069244464, 123.06661543439579, 115.86199644070541]",0.190863938,"[209.20293460121525, 200.54875783242557, 190.6167385622973]",0.23832814,"[136.0548064768555, 41.54466381749236, 48.223589959670164]",0.256235287,"[29.370887024635536, 31.74610158837607, 68.56615816067495]",0.314572635
E:/Organized Photos/2021/2021-05-21 11-29-29.jpg,"[201.52631802721098, 120.96322278911572, 61.112585034013584]",0.073754918,"[22.574962292609353, 23.108388444135063, 21.564381018679672]",0.132892352,"[171.57588164138818, 161.66750410967398, 152.85997642753014]",0.207077091,"[205.19283141526827, 203.80776803385845, 203.18585506767022]",0.586275639
E:/Organized Photos/2021/2021-05-21 15-08-25.jpg,"[139.5268987341772, 116.70332278481013, 100.5075158227848]",0.197575235,"[191.43316736882417, 166.10532363079278, 44.2627345844504]",0.212526475,"[37.62921985815603, 31.82808510638297, 31.064113475177304]",0.280137537,"[203.0413907284768, 196.38658940397352, 189.97654525386312]",0.309760753
E:/Organized Photos/2021/2021-05-21 15-08-27.jpg,"[111.85754985754987, 99.07122507122507, 78.72027972027969]",0.187730464,"[31.9657077100115, 27.973993095512064, 27.574683544303788]",0.217244517,"[187.19249503878774, 160.6054483131878, 57.57008839978351]",0.26810237,"[200.24572871787248, 194.76779081860053, 188.77596196701822]",0.326922648
E:/Organized Photos/2021/2021-05-21 15-08-29.jpg,"[163.4577231931979, 135.4298535663675, 119.30231459612659]",0.175366168,"[182.9884640738299, 160.01483190507577, 44.78576137112722]",0.243114361,"[51.88198042602186, 45.876511226252155, 39.65630397236615]",0.277166022,"[200.69123669123667, 200.37428337428338, 196.96560196560193]",0.30435345
E:/Organized Photos/2021/2021-05-21 15-08-36.jpg,"[196.16143421837123, 178.9889732132998, 165.99695990460148]",0.185481754,"[32.27535084044615, 26.047409278944368, 23.215518144211128]",0.205773619,"[128.86333422687085, 105.6273404240818, 83.23531683469704]",0.296355594,"[228.51289578890103, 205.41551466588396, 77.36372427965757]",0.312389033
E:/Organized Photos/2021/2021-05-21 15-08-56.jpg,"[30.27828947368421, 25.860526315789475, 26.130921052631578]",0.130571992,"[173.98783948115118, 168.9071747061208, 163.54276449128494]",0.203482589,"[117.67840948726892, 100.63829787234043, 81.63306592256716]",0.2303048,"[220.19488406330512, 195.87523003312478, 72.42859771807142]",0.435640619
E:/Organized Photos/2021/2021-05-21 15-08-57.jpg,"[191.68756925450327, 175.9178710163625, 163.24007355640484]",0.167623627,"[38.23200449783585, 34.08898529220959, 34.35241559072373]",0.170470561,"[125.24692311394091, 107.17855422164232, 86.07024398252867]",0.250156568,"[219.0820721821556, 194.96421578138361, 71.37782004549223]",0.411749243
E:/Organized Photos/2021/2021-05-21 15-08-59.jpg,"[190.30313882743377, 168.103415376106, 149.50493639380534]",0.218649777,"[34.68887074829928, 30.10473469387756, 30.773537414966015]",0.221728733,"[124.34443119670287, 103.0380238977735, 82.9146211865944]",0.233217839,"[232.19948965389273, 207.98907859330055, 67.73195694534654]",0.326403652
E:/Organized Photos/2021/2021-05-21 15-09-00.jpg,"[33.96750543291775, 29.319283998627437, 28.35826375386021]",0.194115971,"[190.76824568800654, 170.89342341370622, 154.241334340037]",0.224142705,"[122.31679619089316, 103.10739565090476, 82.13803451546997]",0.240424078,"[234.2398519927292, 211.0377651419589, 70.4079967914508]",0.341317246
E:/Organized Photos/2021/2021-05-21 15-09-04.jpg,"[34.06843800322062, 29.391304347826086, 27.885668276972623]",0.197410219,"[190.52321857485984, 171.2341873498799, 154.8206565252202]",0.210489612,"[125.8298083278255, 105.98347653668206, 84.95307336417711]",0.238976498,"[234.12920560747668, 210.31144859813082, 70.41542056074766]",0.353123671
E:/Organized Photos/2021/2021-05-21 15-09-08.jpg,"[32.428532933430276, 25.898533994754136, 23.044337837297675]",0.131652796,"[174.69393782376227, 168.7701284385965, 161.26894631946212]",0.197449176,"[119.55238922402248, 96.67266157103548, 74.33443671888793]",0.282446857,"[227.7552075922306, 204.16809376735048, 67.39615366372874]",0.38845117
E:/Organized Photos/2021/2021-05-21 15-09-12.jpg,"[168.27980295566502, 170.01379310344822, 166.62266009852212]",0.086706316,"[112.72980062959074, 95.38247639034626, 67.86883525708288]",0.151780711,"[24.83969943644333, 22.826862867877274, 21.12805259862242]",0.264480633,"[222.0583184837194, 196.85193584966788, 54.44079053944598]",0.497032339
E:/Organized Photos/2021/2021-05-21 15-09-17.jpg,"[192.63791267305652, 176.93425012733243, 158.26651849793953]",0.180823583,"[40.64997632575757, 36.33120265151515, 35.476128472222186]",0.204471536,"[126.53459346657029, 109.64355084677744, 91.51801910265668]",0.205167112,"[213.6522591355481, 188.12484749084945, 59.92901574094446]",0.409537769
E:/Organized Photos/2021/2021-05-21 15-09-20.jpg,"[192.62565569861704, 177.3514544587506, 161.08392942298522]",0.177596834,"[129.82695439739413, 113.10301302931599, 94.45439739413682]",0.201710719,"[49.197586726998495, 41.95656108597285, 40.24645550527904]",0.253777239,"[216.13710407239816, 191.00135746606333, 60.815384615384616]",0.366915207
E:/Organized Photos/2021/2021-05-21 15-46-22.jpg,"[38.594525547445265, 37.89124087591241, 42.85474452554745]",0.21609728,"[146.67759388924247, 167.55951623169955, 195.16772756206237]",0.23688001,"[87.61223241590214, 96.57400611620793, 106.02660550458714]",0.243237221,"[222.58846153846153, 218.6153846153846, 208.23461538461544]",0.30378549
E:/Organized Photos/2021/2021-05-21 15-46-30.jpg,"[37.80478087649402, 36.95834842448388, 36.90510684534589]",0.238552394,"[79.69764521193093, 82.2565149136578, 82.66279434850864]",0.252872112,"[124.76879162702188, 136.55185537583253, 143.581351094196]",0.253082155,"[179.05205393540294, 197.83286296644715, 216.115396676074]",0.255493338
E:/Organized Photos/2021/2021-05-21 15-46-41.jpg,"[79.02063129808683, 80.45722243366218, 84.46922922782946]",0.234284208,"[122.53869072143729, 129.29173190226993, 140.46260068600404]",0.244802575,"[172.16087879811724, 184.5351535103497, 200.53901642623532]",0.258693924,"[43.61225521055669, 36.62219150922221, 36.95464445682607]",0.262219293
